"indiv","sex","ars","f","smlh","pack","migrant","littersize","littersync","index","rain","rainsd","age","packsize","fhresid"
"FM100","M",0,0.125,0.994320225908357,"4B",TRUE,12,TRUE,1,69.9583333333333,46.7742636759174,1,25.0833333333334,0.0536592961628442
"FM100","M",0,0.125,0.994320225908357,"4B",TRUE,12,TRUE,1,64.3833333333333,26.0591576412151,2,16.3333333333333,0.0536592961628442
"FM105","M",0,0.25,1.12436406368211,"4B",TRUE,12,TRUE,0,69.9583333333333,46.7742636759174,1,25.0833333333334,0.287310220588324
"FM105","M",0,0.25,1.12436406368211,"4B",TRUE,12,TRUE,0,64.3833333333333,26.0591576412151,2,16.3333333333333,0.287310220588324
"FM105","M",2,0.25,1.12436406368211,"4B",TRUE,12,TRUE,0,58.875,37.5123282765449,3,14.5833333333333,0.287310220588324
"FF108","F",0,0.125,1.01103056726552,"4B",FALSE,12,TRUE,0.75,69.9583333333333,46.7742636759174,1,25.0833333333334,0.0703696375200064
"FF108","F",0,0.125,1.01103056726552,"4B",FALSE,12,TRUE,0.75,64.3833333333333,26.0591576412151,2,16.3333333333333,0.0703696375200064
"FF108","F",2,0.125,1.01103056726552,"4B",FALSE,12,TRUE,0.75,58.875,37.5123282765449,3,14.5833333333333,0.0703696375200064
"BF267","F",0,0.03125,0.874961996782986,"1B",FALSE,5,FALSE,0.0476190476190476,66.5666666666667,45.1481064403759,1,23.1666666666666,-0.143404247951319
"BF267","F",3,0.03125,0.874961996782986,"1B",FALSE,5,FALSE,0.0476190476190476,62.6916666666667,34.547686630441,2,24.6666666666666,-0.143404247951319
"BF267","F",5,0.03125,0.874961996782986,"1B",FALSE,5,FALSE,0.0476190476190476,58.3416666666667,33.6002017941271,3,23.6666666666666,-0.143404247951319
"BF267","F",7,0.03125,0.874961996782986,"1B",FALSE,5,FALSE,0.0476190476190476,69.8916666666667,19.2729418584395,4,27.8461538461538,-0.143404247951319
"BM278","M",0,0,1.04403623720378,"1B",FALSE,9,TRUE,0.909090909090909,70.1666666666667,39.5810866986042,1,23.3076923076923,-0.000231779193460156
"VF033","F",0,0,1.26490957164238,"15",FALSE,10,TRUE,1,63.3583333333333,25.4390701064089,1,12.7692307692308,0.220641555245143
"VF033","F",0,0,1.26490957164238,"15",FALSE,10,TRUE,1,59.7083333333333,39.2235888750943,2,14.0833333333333,0.220641555245143
"VF033","F",0,0,1.26490957164238,"15",FALSE,10,TRUE,1,70.6166666666667,23.0887943436296,3,12,0.220641555245143
"VF033","F",0,0,1.26490957164238,"15",FALSE,10,TRUE,1,65.5833333333333,43.9321549940843,4,8.75,0.220641555245143
"VF033","F",7,0,1.26490957164238,"15",FALSE,10,TRUE,1,54.4583333333333,35.3263604468992,5,5.41666666666667,0.220641555245143
"VF033","F",7,0,1.26490957164238,"15",FALSE,10,TRUE,1,52.4916666666667,51.0427353629616,6,4.66666666666667,0.220641555245143
"VF033","F",0,0,1.26490957164238,"15",TRUE,10,TRUE,1,73.725,39.3551688877308,7,3.84615384615384,0.220641555245143
"VF035","F",0,0.00390625,1.07751556102869,"15",FALSE,10,TRUE,0.666666666666667,63.3583333333333,25.4390701064089,1,12.7692307692308,0.036485266089324
"VF035","F",1,0.00390625,1.07751556102869,"15",FALSE,10,TRUE,0.666666666666667,59.7083333333333,39.2235888750943,2,14.0833333333333,0.036485266089324
"VF035","F",1,0.00390625,1.07751556102869,"15",FALSE,10,TRUE,0.666666666666667,70.6166666666667,23.0887943436296,3,12,0.036485266089324
"VF037","F",0,0,0.890121550415007,"15",FALSE,10,TRUE,0.5,63.3583333333333,25.4390701064089,1,12.7692307692308,-0.154146465982228
