"indiv","pack","sex","daten","litter","index","rain","rainsd","brain","f","smlh","avweight","avage","dup","old_index","litter_eobservations","escort_eobservations","record_end","litter_eobservations2","fhresid"
"HM196","1H","M",40527,"H0905",1,64.1666666666667,44.058562955423,2.64,0,1.0041236491841,1110,368.2,FALSE,0.7,7,7,40859,7,-0.00990846941080614
"HM195","1H","M",40528,"H0905",0.285714285714286,64.1666666666667,44.058562955423,2.64,0.01953125,1.16266948852896,1209,366.5,FALSE,0.285714285714286,7,2,42532,7,0.159199876736727
"HF198","1H","F",40548,"H1001",0.545454545454545,59.6083333333333,46.6624524612345,3.06551724137931,0.06640625,0.845577809839243,1003,365.5,FALSE,0.545454545454545,11,6,41265,11,-0.13254178562657
"HF199","1H","F",40548,"H1001",1,59.6083333333333,46.6624524612345,3.06551724137931,0.06640625,0.748925175075308,992.375,365.5,FALSE,0.916666666666667,11,11,40936,11,-0.229194420390504
"BF473","1B","F",40557,"B1001",0.888888888888889,59.6833333333333,46.6173754835008,1.81724137931034,0.11328125,0.942963035296439,1599.2,367.2,FALSE,1,9,8,41982,9,-0.00980654384295418
"FF165","4B","F",40563,"F1001",0.9,61.6166666666667,45.9497914394977,2.27586206896552,0.09375,0.898426422954196,950,375,FALSE,0.9,10,9,41815,10,-0.0649056629878722
"BF483","1B","F",40662,"B1003",0.272727272727273,51.5083333333333,43.3029803369307,5.00666666666667,0,0.81895819965314,1417.83333333333,362.5,FALSE,0.3,11,3,40849,11,-0.195073918941768
"BF484","1B","F",40662,"B1003",0.727272727272727,51.5083333333333,43.3029803369307,5.00666666666667,0,0.839825606753604,1310.16666666667,362.5,FALSE,0.666666666666667,11,8,42160,11,-0.174206511841303
"BF485","1B","F",40662,"B1003",0.272727272727273,51.5083333333333,43.3029803369307,5.00666666666667,0,1.08683313815172,1333,355,FALSE,0.333333333333333,11,3,40676,11,0.0728010195568159
"BM486","1B","M",40662,"B1003",0.363636363636364,51.5083333333333,43.3029803369307,5.00666666666667,0,0.921327974609782,1474.66666666667,362.5,FALSE,0.333333333333333,11,4,41180,11,-0.0927041439851254
"FM173","4B","M",40723,"F1003",0.75,49.4166666666667,40.7673852113389,1.56333333333333,0.09375,0.845577809839243,1215.5,364.75,FALSE,0.923076923076923,16,12,40998,16,-0.117754276102825
"BF487","1B","F",40655,"B1003",0.454545454545455,51.5083333333333,43.3029803369307,5.00666666666667,0,0.972512862088103,1438.5,362.5,FALSE,0.363636363636364,11,5,41572,11,-0.0415192565068042
"DF178","11","F",40736,"D1003",0.5,55.4333333333333,40.023455244356,0.33,0,1.07488263704475,1178,365.571428571429,FALSE,0.75,6,3,41059,6,0.0608505184498384
"DM179","11","M",40736,"D1003",0.666666666666667,55.4333333333333,40.023455244356,0.33,0.25,1.16266948852896,974,365.571428571429,FALSE,0.8,6,4,42376,6,0.28383745700829
"HM216","1H","M",40870,"H1004",0.318181818181818,54.1333333333333,34.8864999503802,3.82333333333333,0.0390625,0.790424100473981,809.888888888889,363.555555555556,FALSE,0.7,22,7,42238,22,-0.202483004515577
"HM217","1H","M",40870,"H1004",0.636363636363636,54.1333333333333,34.8864999503802,3.82333333333333,0.111328125,1.0374316318721,1132.55555555556,363.555555555556,FALSE,1,22,14,42532,22,0.0836058020524389
"HF220","1H","F",40870,"H1004",0.727272727272727,54.1333333333333,34.8864999503802,3.82333333333333,0.0390625,0.889227113033228,1036.11111111111,363.555555555556,FALSE,0.842105263157895,22,16,41878,22,-0.103679991956329
"HM222","1H","M",40870,"H1004",0.772727272727273,54.1333333333333,34.8864999503802,3.82333333333333,0.111328125,0.952286480793561,1114.55555555556,363.555555555556,FALSE,0.944444444444444,22,17,42532,22,-0.00153934902610005
"HM223","1H","M",40870,"H1004",0.727272727272727,54.1333333333333,34.8864999503802,3.82333333333333,0.111328125,1.02369774956642,1127.66666666667,363.555555555556,FALSE,0.941176470588235,22,16,42532,22,0.0698719197467639
